dataset,mode,model,completion_status,n_folds,n_folds_expected,dependency,error_summary
Breast_Cancer_Wisconsin_(Original),no_mi,RandomForest,completed,5,5,scikit-learn,
Breast_Cancer_Wisconsin_(Original),no_mi,HistGradientBoosting,completed,5,5,scikit-learn,
Breast_Cancer_Wisconsin_(Original),no_mi,XGBoost,completed,5,5,xgboost,
Breast_Cancer_Wisconsin_(Original),no_mi,LightGBM,completed,5,5,lightgbm,
Breast_Cancer_Wisconsin_(Original),no_mi,CatBoost,completed,5,5,catboost,
Breast_Cancer_Wisconsin_(Original),no_mi,EBM,completed,5,5,interpret,
Vowel,no_mi,RandomForest,completed,5,5,scikit-learn,
Vowel,no_mi,HistGradientBoosting,completed,5,5,scikit-learn,
Vowel,no_mi,XGBoost,completed,5,5,xgboost,
Vowel,no_mi,LightGBM,completed,5,5,lightgbm,
Vowel,no_mi,CatBoost,completed,5,5,catboost,
Vowel,no_mi,EBM,completed,5,5,interpret,
