evidence_block,bcwd,vowel,spambase,gisette,claim_boundary
Threshold tau sweep,numeric,numeric,numeric,numeric,4-dataset sensitivity evidence
Sparsity lambda/seed retraining,numeric,numeric,numeric,numeric,"Gisette row is fixed fold 1, seeds 0-4; avoid claiming 5-fold lambda sweep"
Full vs Primary checkpoint attribution,numeric,numeric,numeric,numeric,4-dataset Full-Primary delta and zero hard-route overlap
Sequential vs joint schedule,numeric,numeric,numeric,numeric,Gisette is numeric but mixed; no universal sequential-superiority claim
Architecture training-tier ablation,numeric,numeric,numeric,numeric,Use for attribution; preserve cases where dense/no-disjoint is higher
Correlated-copy stress,numeric,numeric,numeric,numeric top-100 subset,Group-level explanation under high collinearity
Product-vs-HTSK firing comparison,numeric,numeric,numeric,numeric,"HTSK as numerical scale-control, not sole performance cause"
Strong tabular baselines,numeric,numeric,numeric,numeric,Do not claim universal dominance over all tabular baselines
SHAP/LIME local deletion,numeric,numeric,numeric,numeric,"GRS explanations are complementary, not universally more faithful locally"
Intrinsic rule-path metrics,numeric,numeric,numeric,numeric,Model-native rule-path evidence
Paired statistics,numeric,numeric,numeric,numeric,Current revision-rerun fold evidence only
